City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Rio Gallegos,AR,-51.6226,-69.2181,51.8,43,0,12.66,clear sky
203,Luena,AO,-11.7833,19.9167,68.92,63,100,1.21,overcast clouds
204,Bardiyah,LY,31.7561,25.0865,60.76,65,9,13.78,clear sky
205,Beringovskiy,RU,63.05,179.3167,9.9,92,22,4.9,few clouds
206,Sibolga,ID,1.7427,98.7792,77.45,88,50,2.73,scattered clouds
207,Yumen,CN,40.2833,97.2,57.65,20,100,6.71,overcast clouds
208,Balabac,PH,7.9868,117.0645,81.27,79,97,12.82,overcast clouds
209,Cayenne,GF,4.9333,-52.3333,80.6,83,75,12.66,broken clouds
210,Victor Harbor,AU,-35.5667,138.6167,50.0,86,59,1.63,broken clouds
211,Fairbanks,US,64.8378,-147.7164,39.2,48,1,14.97,clear sky
212,Klyuchi,RU,52.2667,79.1667,25.54,42,0,3.18,clear sky
213,Mega,ET,4.05,38.3,62.98,74,97,8.66,overcast clouds
214,Belyy Yar,RU,53.6039,91.3903,21.2,73,0,2.24,clear sky
215,Svetlogorsk,BY,52.6333,29.7333,44.11,81,95,8.61,overcast clouds
216,Wattegama,LK,6.7989,81.4808,75.81,91,13,1.63,few clouds
217,Rabo De Peixe,PT,37.8,-25.5833,64.4,88,75,13.8,broken clouds
218,Dongsheng,CN,39.8161,109.9776,56.89,52,100,15.57,light rain
219,Barrow,US,71.2906,-156.7887,12.2,79,90,19.57,overcast clouds
220,Kolchugino,RU,56.3,39.3833,38.53,96,100,13.27,light rain
221,Santa Elena,EC,-2.2333,-80.85,80.6,78,0,9.22,clear sky
222,Tagusao,PH,9.1924,117.8141,80.26,79,100,10.94,overcast clouds
223,Eureka,US,40.8021,-124.1637,52.0,97,100,7.0,overcast clouds
224,Port Macquarie,AU,-31.4333,152.9167,53.01,99,55,1.99,broken clouds
225,Beinamar,TD,8.6698,15.3813,98.06,16,78,2.19,broken clouds
226,Irtyshskiy,RU,58.3333,68.1333,35.24,77,95,8.25,overcast clouds
